epoch,train_loss,test_loss,train_acc,test_acc,test_auc
1,0.6788760158750746,0.6454290747642517,0.5555555555555556,0.7666666666666667,0.8088888888888889
2,0.6337756514549255,0.5409423187375069,0.6527777777777778,0.8333333333333334,0.8711111111111112
3,0.5888059602843391,0.5308455228805542,0.6458333333333334,0.7,0.8300000000000001
4,0.5166818201541901,0.6017806977033615,0.7847222222222222,0.6666666666666666,0.8255555555555556
5,0.54734182688925,0.5468412525951862,0.7152777777777778,0.7166666666666667,0.8455555555555556
6,0.5431583391295539,0.509110651910305,0.7152777777777778,0.7666666666666667,0.8388888888888889
7,0.5633058018154569,0.6232399828732014,0.7222222222222222,0.65,0.8355555555555555
8,0.5028722882270813,0.5385180488228798,0.7430555555555556,0.75,0.8066666666666666
9,0.5387843317455716,0.5431942194700241,0.7291666666666666,0.8,0.7866666666666666
10,0.5532694160938263,0.538521159440279,0.7291666666666666,0.7666666666666667,0.8066666666666668
11,0.5117435687118106,0.6158242393285036,0.7569444444444444,0.65,0.8088888888888889
12,0.6136960453457303,0.5512077473104,0.7152777777777778,0.7,0.8300000000000001
13,0.5415007902516259,0.48516015335917473,0.7430555555555556,0.8,0.8677777777777779
14,0.4566740194956462,0.4617083705961704,0.7847222222222222,0.8166666666666667,0.8844444444444445
15,0.42808014816708034,0.4853893555700779,0.8194444444444444,0.7666666666666667,0.8611111111111112
16,0.41765907406806946,0.5040405746549368,0.8194444444444444,0.7833333333333333,0.8588888888888888
17,0.45821835266219246,0.5092443823814392,0.7916666666666666,0.7666666666666667,0.8677777777777778
18,0.41038432386186385,0.5040004197508097,0.8263888888888888,0.7166666666666667,0.8755555555555555
19,0.4469119674629635,0.5123957842588425,0.8055555555555556,0.7166666666666667,0.8733333333333333
20,0.4146674507194095,0.5322084724903107,0.8125,0.7333333333333333,0.8544444444444445
21,0.3892587655120426,0.5389649607241154,0.8055555555555556,0.7166666666666667,0.8677777777777778
22,0.34783041808340287,0.5427037328481674,0.8402777777777778,0.75,0.8755555555555556
23,0.31383434931437176,0.5431137718260288,0.8888888888888888,0.7166666666666667,0.8822222222222222
24,0.34731176495552063,0.4841309133917093,0.8125,0.7833333333333333,0.8788888888888889
25,0.3325573868221707,0.5220689037814736,0.8472222222222222,0.75,0.8788888888888889
26,0.31186924709214103,0.5159419309347868,0.8402777777777778,0.75,0.8766666666666667
27,0.373388828502761,0.4882661998271942,0.875,0.8166666666666667,0.88
28,0.3835764610105091,0.5228106882423162,0.8263888888888888,0.7333333333333333,0.8755555555555556
29,0.33681311375565,0.5042647439986467,0.8472222222222222,0.7666666666666667,0.8811111111111111
30,0.35001586708757615,0.5184361543506384,0.8472222222222222,0.7833333333333333,0.8722222222222222
