,CV Accuracy (mean),CV Accuracy (std),CV F1 (mean),CV F1 (std),CV ROC-AUC (mean),CV ROC-AUC (std),Train Accuracy
Random Forest,0.7454545454545455,0.07323058165814893,0.7797193340091475,0.07312974386719567,0.7812252854358117,0.038649462978995304,0.9742424242424242
XGBoost,0.7151515151515152,0.06239775843022422,0.7428990723108371,0.06783351099218192,0.8007073238652186,0.06013510847216232,0.9484848484848486
SVM,0.6424242424242425,0.04453617714151232,0.6598435005931419,0.05407203081119881,0.7176162628794207,0.05745831112795109,0.8287878787878789
Logistic Regression,0.696969696969697,0.08353968940660737,0.7148092209856916,0.09143174519006289,0.7687329434697856,0.09997995639620876,0.7439393939393939
ENSEMBLE,0.7333333333333334,0.06470956516382613,0.7525607287449393,0.07526623250217024,0.7940072403230298,0.075488758375526,0.9090909090909092
