,CV Accuracy (mean),CV Accuracy (std),CV F1 Macro (mean),CV F1 Macro (std),Train Accuracy
Random Forest,0.5076923076923077,0.03768445758127963,0.4451460080445588,0.019900638146168083,0.9384615384615385
XGBoost,0.48461538461538456,0.06249260311258429,0.4084443009881607,0.052503691208783995,0.9903846153846153
SVM,0.5153846153846154,0.05756395979652218,0.46690092775164793,0.06074772738354252,0.8326923076923076
Logistic Regression,0.5,0.09730085108210398,0.4679714437609174,0.1021113091167421,0.6615384615384615
ENSEMBLE,0.5538461538461539,0.07919715493066921,0.4494105542085082,0.06655932791260447,0.8807692307692309
